header,date,url
Fulbright U.S. Student Program Information Session,APRIL 20,https://hub.jhu.edu/events/2022/04/20/fulbright-us-student-program-information-session/
Introduction to Interactive Data Visualization in R with Shiny,APRIL 21,https://hub.jhu.edu/events/2022/04/21/introduction-to-interactive-data-visualization-in-r-with-shiny-two-3-hr-sessions/
Introduction to Python for Absolute Beginners ,APRIL 21,https://hub.jhu.edu/events/2022/04/21/introduction-to-python-for-absolute-beginners/
International Student Coffee Break & Chat,APRIL 22,https://hub.jhu.edu/events/2022/04/22/international-student-coffee-break-chat/
"Intermittent Fasting Transformation: IF45 with Cynthia Thurlow (Nursing '98, '01)",APRIL 22,https://hub.jhu.edu/events/2022/04/22/intermittent-fasting-transformation-if45-with-cynthia-thurlow-np-nursing-98-01/
Weekly Meditation,APRIL 23,https://hub.jhu.edu/events/2022/04/23/weekly-meditation/
Hopkins Symphony Orchestra: Arukah: Healing + Restoration,APRIL 23,https://hub.jhu.edu/events/2022/04/23/hopkins-symphony-orchestraarukah-healing-restoration/
Malaria in Africa: Translating Science into Practice | World Malaria Day Symposium,APRIL 25,https://hub.jhu.edu/events/2022/04/25/malaria-in-africa-translating-science-into-practice-world-malaria-day-symposium/
BME Virtual Weekly Seminar Series: Wayne A. Marasco,APRIL 25,https://hub.jhu.edu/events/2022/04/25/bme-virtual-weekly-seminar-series-wayne-marasco/
Virtual Sound Rounds,APRIL 25,https://hub.jhu.edu/events/2022/04/25/virtual-sound-rounds/
Emotional Adulting Workshop Series,APRIL 25,https://hub.jhu.edu/events/2022/04/25/emotional-adulting-workshop-series/
Best Practices for Data Management and Sharing,APRIL 26,https://hub.jhu.edu/events/2022/04/26/best-practices-for-data-management-and-sharing/
Virtual Sound Rounds,APRIL 26,https://hub.jhu.edu/events/2022/04/26/virtual-sound-rounds/
Bringing Your Research Alive with StoryMaps,APRIL 26,https://hub.jhu.edu/events/2022/04/26/bringing-your-research-alive-with-storymaps/
Chat with a Counselor for LGBTQ+ Students,APRIL 26,https://hub.jhu.edu/events/2022/04/26/chat-with-an-lgbtq-counselor/
Johns Hopkins Sustainability Plan Student-Only Workshop: Emerging Solutions,APRIL 26,https://hub.jhu.edu/events/2022/04/26/jhu-sustainability-plan-student-only-workshop-emerging-solutions/
Musicology Colloquium: Anicia Timberlake,APRIL 26,https://hub.jhu.edu/events/2022/04/26/peabody-musicology-colloquium-anicia-timberlake/
Fulbright U.S. Student Program Information Session,APRIL 27,https://hub.jhu.edu/events/2022/04/27/fulbright-us-student-program-information-session/
Scripting with Python in ArcGIS Online,APRIL 27,https://hub.jhu.edu/events/2022/04/27/scripting-with-python-in-arcgis-online/
Chat with a Counselor for Black Students,APRIL 27,https://hub.jhu.edu/events/2022/04/27/chat-with-a-counselor-for-black-students/
Mindful Yoga,APRIL 27,https://hub.jhu.edu/events/2022/04/27/mindful-yoga/
Allies and Rivals: German-American Exchange and the Rise of the Modern Research University,APRIL 27,https://hub.jhu.edu/events/2022/04/27/german-american-exchange-modern-research-university/
Johns Hopkins Sustainability Plan Workshop: Emerging Solutions,APRIL 28,https://hub.jhu.edu/events/2022/04/28/jhu-sustainability-plan-workshop-emerging-solutions/
Joining Data in ArcGIS Online,APRIL 28,https://hub.jhu.edu/events/2022/04/28/joining-data-in-arcgis-online/
International Student Coffee Break & Chat,APRIL 29,https://hub.jhu.edu/events/2022/04/29/international-student-coffee-break-chat/
Virtual Sound Rounds,MAY 2,https://hub.jhu.edu/events/2022/05/02/virtual-sound-rounds/
Chat with an African Counselor,MAY 2,https://hub.jhu.edu/events/2022/05/02/chat-with-an-african-counselor/
Chat with a Muslim Counselor,MAY 2,https://hub.jhu.edu/events/2022/05/02/chat-with-a-muslim-counselor/
Virtual Sound Rounds,MAY 3,https://hub.jhu.edu/events/2022/05/03/virtual-sound-rounds/
Department of Chemistry Colloquium Seminar Series: Benjamin Swartz,MAY 3,https://hub.jhu.edu/events/2022/05/03/department-of-chemistry-colloquium-seminar-series-benjamin-swartz/
Provost's Teaching with Technology DELTA Symposium,MAY 5,https://hub.jhu.edu/events/2022/05/05/provosts-teaching-with-technology-delta-symposium/
Virtual Sound Rounds,MAY 9,https://hub.jhu.edu/events/2022/05/09/virtual-sound-rounds/
Virtual Sound Rounds,MAY 10,https://hub.jhu.edu/events/2022/05/10/virtual-sound-rounds/
The 21st Annual Daniel Nathans Lecture in the Department of Molecular Biology and Genetics,MAY 12,https://hub.jhu.edu/events/2022/05/12/the-21st-annual-daniel-nathans-lecture-in-the-department-of-molecular-biology-and-genetics/
Convent-ional Wisdom: Conserving the Women of the Book Collection,MAY 13,https://hub.jhu.edu/events/2022/05/13/convent-ional-wisdom-conserving-the-women-of-the-book-collection/
Virtual Sound Rounds,MAY 16,https://hub.jhu.edu/events/2022/05/16/virtual-sound-rounds/
"Closing: DMC Visiting Artist Hallway Exhibition: Mollye Bendell's ""Outgrown""",MAY 17,https://hub.jhu.edu/events/2022/05/17/closing-dmc-visiting-artist-hallway-exhibition-mollye-bendell-outgrown/
Virtual Sound Rounds,MAY 17,https://hub.jhu.edu/events/2022/05/17/virtual-sound-rounds/
Virtual Sound Rounds,MAY 23,https://hub.jhu.edu/events/2022/05/23/virtual-sound-rounds/
Virtual Sound Rounds,MAY 24,https://hub.jhu.edu/events/2022/05/24/virtual-sound-rounds/
"Creative Acts for Curious People: How to Think, Create, and Lead in Unconventional Ways",MAY 25,https://hub.jhu.edu/events/2022/05/25/creative-acts-for-curious-people/
Writing Data Management Plans with DMPTool,JUNE 1,https://hub.jhu.edu/events/2022/06/01/writing-data-management-plans-with-dmptool/
Empires of Ideas: Creating the Modern University from Germany to America to China,JUNE 22,https://hub.jhu.edu/events/2022/06/22/empire-of-ideas/
Other People's Colleges: The Origins of American Higher Education Reform,JULY 27,https://hub.jhu.edu/events/2022/07/27/american-higher-education-reform/
Doing the Right Thing: How Colleges and Universities Can Undo Systemic Racism in Faculty Hiring,AUG 24,https://hub.jhu.edu/events/2022/08/24/undo-systemic-racism-faculty-hiring/
